"<i>yourdomain</i>.zendesk.com","<i>yourdomain</i>.zendesk.com"
"A total of %1 ticket(s) have been created.","A total of %1 ticket(s) have been created."
"Are you sure?","Are you sure?"
"Connection failed! Test again?","Connection failed! Test again?"
"Create Ticket","Create Ticket"
"Customer Email","Customer Email"
"Default","Default"
"Enable Zendesk Integration","Enable Zendesk Integration"
"Followers","Followers"
"General settings that are required to connect Zendesk Support and Magento.","General settings that are required to connect Zendesk Support and Magento."
"Group","Group"
"High","High"
"Incident","Incident"
"Invalid Zendesk API credentials.","Invalid Zendesk API credentials."
"Invalid Zendesk API credentials.: ""%1""","Invalid Zendesk API credentials.: ""%1"""
"Low","Low"
"No Group","No Group"
"Normal","Normal"
"Priority","Priority"
"Problem","Problem"
"Question","Question"
"Successful! Test again?","Successful! Test again?"
"Tags","Tags"
"Tags should be separated with new line","Tags should be separated with new line"
"Task","Task"
"Test Connection","Test Connection"
"To generate a token, log in to Zendesk then select Manage > Channels > API > Token","To generate a token, log in to Zendesk then select Manage > Channels > API > Token"
"Type","Type"
"Urgent","Urgent"
"Zendesk agent email not configured.","Zendesk agent email not configured."
"Zendesk API token not configured.","Zendesk API token not configured."
"Zendesk Assign Group","Zendesk Assign Group"
"Zendesk domain not configured.","Zendesk domain not configured."
"Zendesk Integration Add-on","Zendesk Integration Add-on"
"Zendesk Integration Settings","Zendesk Integration Settings"
